2022-05-01 12:41:16,875 | INFO | {"Someone in Forbidden Area": true, "Pet Detection": false, "Someone Here For a Long Time": false, "Camera Sabotage": false}
2022-05-01 12:49:29,708 | INFO | Home security system started. Downloading informations from drive.
2022-05-01 12:49:51,387 | INFO | YOLOv5  v6.1-164-g177da7f torch 1.10.0+cu113 CUDA:0 (NVIDIA GeForce RTX 3070, 8192MiB)

2022-05-01 12:49:52,611 | INFO | Fusing layers... 
2022-05-01 12:49:54,864 | INFO | Model summary: 213 layers, 1761871 parameters, 0 gradients, 4.2 GFLOPs
2022-05-01 12:49:54,867 | INFO | Adding AutoShape... 
2022-05-01 12:49:55,021 | INFO | Trying to upload image faces/residents\Sevval_0.jpg. If there is a problem please delete this file.
2022-05-01 12:49:55,864 | INFO | Trying to upload image faces/residents\Sevval_1.jpg. If there is a problem please delete this file.
2022-05-01 12:49:55,908 | INFO | Trying to upload image faces/residents\Sevval_2.jpg. If there is a problem please delete this file.
2022-05-01 12:49:55,944 | INFO | Trying to upload image faces/residents\Sevval_3.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,000 | INFO | Trying to upload image faces/residents\Sevval_4.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,024 | INFO | Trying to upload image faces/residents\Sevval_5.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,061 | INFO | Trying to upload image faces/residents\Sevval_6.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,103 | INFO | Trying to upload image faces/residents\Sevval_7.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,135 | INFO | Trying to upload image faces/residents\Sevval_8.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,165 | INFO | Trying to upload image faces/residents\Sevval_9.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,198 | INFO | Trying to upload image faces/residents\Sezer_0.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,229 | INFO | Trying to upload image faces/residents\Sezer_1.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,248 | INFO | Trying to upload image faces/residents\Sezer_2.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,268 | INFO | Trying to upload image faces/residents\Sezer_3.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,300 | INFO | Trying to upload image faces/residents\Sezer_4.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,349 | INFO | Trying to upload image faces/residents\Sezer_7.jpg. If there is a problem please delete this file.
2022-05-01 12:49:56,396 | INFO | =====../face_videos/2_5FPS_TEST_SABOTAGED.mov========
2022-05-01 12:49:56,490 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:49:56,596 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:49:56,665 | INFO | {"Pet Detection": false, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:49:56,730 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
2022-05-01 12:49:56,797 | INFO | {"Pet Detection": true, "Someone Here For a Long Time": false, "Someone in Forbidden Area": false, "Camera Sabotage": false}
